"NAME_ST","LIGHT_CONVERT","PAYING_TODAY","CAN_PAY_IN_FUTURE","ACTIVITY_LEVL","MOB_COVERAGE","AVG_ROI_SOLARPANELS","AVG_ROI_MINI_GRID_PERREGION_ANNUAL"
"Kachin",35,37.45,23.13,80.56,6.15,10811800,4665668440
"Sagaing",41.28,36.52,24.9,81.52,4.47,53830000,15123985480
"Yangon",24.65,41.56,16.38,85.31,13.1,46328080,20904396520
"Kayah",28.92,35.58,25.92,76.84,5.6,1487440,814020680
"Mon",39.78,33.26,18.76,80.07,7.03,19675000,5834476120
"Shan",25.07,36.38,26.23,79,6.91,34690480,16541386880
"Mandalay",36.82,40.19,19.42,83.47,8.77,57969640,17510653320
"Bago",60.14,35.31,18.46,81.72,6.15,81985960,13823339320
